Date,Open,High,Low,Close,Volume,Adj Close
2016-11-23,8.72,8.86,8.5,8.8,34583200,8.8
2016-11-22,9.05,9.06,8.54,8.69,71147400,8.69
2016-11-21,8.87,9.22,8.86,8.94,65454300,8.94
2016-11-18,8.68,8.83,8.4,8.71,62255300,8.71
2016-11-17,7.79,8.77,7.77,8.46,124048700,8.46
2016-11-16,7.09,7.75,7.07,7.67,77955700,7.67
2016-11-15,6.82,7.08,6.79,6.97,28654300,6.97
2016-11-14,6.83,6.84,6.61,6.79,29566600,6.79
2016-11-11,6.64,6.69,6.47,6.69,39459100,6.69
2016-11-10,6.82,6.91,6.22,6.3,71673500,6.3
2016-11-09,6.7,7.05,6.64,6.94,38426300,6.94
2016-11-08,6.85,7.18,6.75,7.0,37601100,7.0
2016-11-07,6.79,6.99,6.76,6.96,36861900,6.96
2016-11-04,6.69,6.72,6.46,6.56,32159000,6.56
2016-11-03,6.78,6.79,6.56,6.7,33633200,6.7
2016-11-02,7.03,7.06,6.67,6.76,33745800,6.76
2016-11-01,7.32,7.43,6.92,7.09,39859700,7.09
2016-10-31,7.24,7.46,7.2,7.23,42275900,7.23
2016-10-28,7.1,7.53,7.02,7.2,77192900,7.2
2016-10-27,7.44,7.46,7.1,7.11,37644400,7.11
2016-10-26,7.4,7.48,7.26,7.29,47573700,7.29
2016-10-25,6.9,7.5,6.87,7.5,78862000,7.5
2016-10-24,6.57,7.01,6.54,7.01,52998400,7.01
2016-10-21,6.5,6.65,6.37,6.52,64243500,6.52
2016-10-20,6.81,6.98,6.77,6.96,64607500,6.96
2016-10-19,6.7,6.8,6.57,6.77,29420200,6.77
2016-10-18,6.76,6.89,6.69,6.73,25314800,6.73
2016-10-17,6.92,6.97,6.64,6.67,24261500,6.67
2016-10-14,6.92,7.12,6.74,6.75,66934400,6.75
2016-10-13,6.5,6.54,6.24,6.49,30401700,6.49
2016-10-12,6.64,6.77,6.42,6.62,33592700,6.62
2016-10-11,6.8,6.84,6.38,6.5,32510800,6.5
2016-10-10,6.82,6.94,6.8,6.84,13800500,6.84
2016-10-07,6.92,6.96,6.62,6.75,33059000,6.75
2016-10-06,6.72,6.98,6.63,6.96,27059700,6.96
2016-10-05,6.97,7.01,6.7,6.78,31235600,6.78
2016-10-04,7.0,7.09,6.89,6.97,25770000,6.97
2016-10-03,6.95,7.15,6.87,6.95,30456700,6.95
2016-09-30,6.7,7.04,6.7,6.91,47453100,6.91
2016-09-29,6.57,6.73,6.54,6.67,30746100,6.67
2016-09-28,6.57,6.65,6.48,6.59,27878300,6.59
2016-09-27,6.45,6.58,6.29,6.54,30035900,6.54
2016-09-26,6.54,6.54,6.31,6.32,29875800,6.32
2016-09-23,6.31,6.65,6.31,6.55,61022400,6.55
2016-09-22,6.35,6.44,6.33,6.37,35848200,6.37
2016-09-21,6.2,6.32,6.14,6.29,33450000,6.29
2016-09-20,6.23,6.28,6.12,6.17,28990900,6.17
2016-09-19,6.12,6.28,6.08,6.16,37837200,6.16
2016-09-16,6.22,6.22,5.97,6.05,47829400,6.05
2016-09-15,6.09,6.2,5.95,6.02,52669500,6.02
2016-09-14,5.75,6.08,5.75,6.04,64251100,6.04
2016-09-13,5.92,5.95,5.66,5.74,50819500,5.74
2016-09-12,5.83,6.07,5.77,5.94,78014400,5.94
2016-09-09,6.23,6.24,5.85,5.9,170828000,5.9
2016-09-08,6.64,6.65,6.15,6.23,90814700,6.23
2016-09-07,7.05,7.07,6.78,6.84,57721900,6.84
2016-09-06,7.56,7.6,7.25,7.34,24994600,7.34
2016-09-02,7.49,7.64,7.38,7.51,18538400,7.51
2016-09-01,7.18,7.44,7.09,7.35,22284600,7.35
2016-08-31,7.52,7.52,7.28,7.4,18808800,7.4
2016-08-30,7.61,7.64,7.41,7.49,16088100,7.49
